id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,categories,publisher_vn,book_cover,number_of_page,manufacturer
75953557,Tâm Lý Học Về Tiền,110000,189000,79000,42,4.8,3365,"Tiền bạc có ở khắp mọi nơi, nó ảnh hưởng đến tất cả chúng ta, và khiến phần lớn chúng ta bối rối. Mọi người nghĩ về nó theo những cách hơi khác nhau một chút. Nó mang lại những bài học có thể được áp ...",22821,['Morgan Housel'],Sách tiếng Việt,1980 Books,Bìa mềm,384,Nhà Xuất Bản Dân Trí
57325187,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),65660,98000,32340,33,4.8,330,"NGƯỜI GIÀU CÓ NHẤT THÀNH BABYLONNgười giàu có nhất thành Babylon (tiếng Anh: The Richest Man in Babylon) được xem là một trong những tác phẩm truyền cảm hứng lớn nhất về chủ đề tiết kiệm, kế hoạch tài...",2129,['GEORGE SAMUEL CLASON'],Sách tiếng Việt,First News - Trí Việt,Bìa gập,216,Nhà Xuất Bản Tổng hợp TP.HCM
76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),213000,319000,106000,33,5.0,1773,"Ắt hẳn ai trong chúng ta cũng đều đã từng là nạn nhân của những bản thuyết trình tra tấn thị giác, hay phải choáng váng với những ma trận phông chữ, màu sắc, những mục đầu dòng và thông tin đáng lưu t...",10244,['Cole Nussbaumer Knaflic'],Sách tiếng Việt,Sunbook,Bìa mềm,280,Nhà Xuất Bản Thế Giới
54266567,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),73000,110000,37000,34,4.8,1675,"""Think and Grow Rich –Nghĩ giàu và Làm giàu là một trong những cuốn sách bán chạy nhất mọi thời đại. Đã hơn 60 triệu bản được phát hành với gần trăm ngôn ngữ trên toàn thế giới và được công nhận là cu...",11623,['Napoleon Hill'],Sách tiếng Việt,First News - Trí Việt,Bìa mềm,450,Nhà Xuất Bản Tổng hợp TP.HCM
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,177000,280000,103000,37,5.0,255,"Tim Marshall đã nhận xét rất xác đáng rằng: ""Các đế chế nổi lên rồi suy tàn. Các liên minh hình thành rồi tan rã. Thời kỳ hòa bình ở châu Âu sau các cuộc chiến của Napoleon kéo dài khoảng sáu mươi năm...",2894,['Tim Marshall'],Sách kinh tế học,Nhã Nam,Bìa mềm,559,Nhà Xuất Bản Phụ Nữ
66067655,Trải Nghiệm Khách Hàng Xuất Sắc,169000,250000,81000,32,5.0,67,"Bạn đang cầm trên tay cuốn sách Trải nghiệm khách hàng xuất sắc được viết từ hơn 22 năm kinh nghiệm, qua nhiều vị trí, môi trường khác nhau của ông Nguyễn Dương, một chuyên gia cấp quốc tế, một trong ...",612,['Nguyễn Dương'],Sách tiếng Việt,Saigon Books,Bìa mềm,344,Nhà Xuất Bản Thế Giới
91947689,Sách PACE Books - 7 Thói quen hiệu quả (The 7 Habits Of Highly Effective People) (Tái Bản) - Stephen R. Covey,188000,250000,62000,25,5.0,46,"“7 Habits” không chỉ là tên của một tác phẩm kinh điển về quản trị, tên của một chương trình đào tạo danh tiếng toàn cầu, mà còn là tên của một nền văn hóa mới, một cách sống mới, nền văn hóa, một các...",385,['Stephen R. Covey'],Sách kỹ năng làm việc,Viện Quản lý PACE,Bìa cứng,536,Nhà Xuất Bản Tổng hợp TP.HCM
168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),109000,165000,56000,34,5.0,646,"Thông tin tác giả:Song Hong Binh (Tống Hồng Binh) sinh năm 1968 tại Tứ Xuyên, Trung Quốc. Ông là tác giả của rất nhiều cuốn sách bán chạy, là học giả nghiên cứu tài chính thế giới và cũng là Viện trư...",5075,['Song Hong Bing'],"Sách tài chính, tiền tệ",Bách Việt,Bìa mềm,532,Nhà Xuất Bản Lao Động
214186189,Tư Duy Nhanh Và Chậm (Tái Bản),190000,269000,79000,29,4.7,27,"Chúng ta thường tự cho rằng con người là sinh vật có lý trí mạnh mẽ, khi quyết định hay đánh giá vấn đề luôn kĩ lưỡng và lý tính. Nhưng sự thật là, dù bạn có cẩn trọng tới mức nào, thì trong cuộc sống...",493,['Daniel Kahneman'],Bài học kinh doanh,Alphabooks,Bìa mềm,612,Nhà Xuất Bản Thế Giới
1926761,Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,125000,199000,74000,37,4.8,2274,TOP 1 SÁCH KHỞI NGHIỆP CHỨA ĐỰNG KINH NGHIỆM TRONG 10 NĂM KINH DOANH CỦA MỘT NGƯỜI TỪNG QUẢN LÝ 65 CỬA HÀNG BÁN LẺ.Bạn sẽ tìm thấy trong quyển sách:Cách đơn giản để tìm kiếm ý tưởng kinh doanh và h...,28590,['Trần Thanh Phong'],Sách khởi nghiệp,Công ty TNHH Truyền Thông Giver,Bìa mềm,272,Nhà Xuất Bản Đà Nẵng
